Places,Plays,Occurrences
España,278,2587
Castilla,164,1199
Roma,212,1026
Francia,170,997
Madrid,106,842
Toledo,130,785
Sevilla,105,765
Italia,187,657
Aragón,102,656
Granada,85,605
León,61,465
Nápoles,81,435
Valencia,78,419
Flandes,115,361
París,58,359
Argel,81,344
Troya,181,328
Milán,53,280
Navarra,52,273
Portugal,76,269
África,91,245
Barcelona,61,238
Grecia,119,215
Inglaterra,54,211
Córdoba,72,203
Indias,82,197
Sicilia,50,188
Zaragoza,47,184
Hungría,40,177
Alemania,75,176
Asia,59,166
Albania,37,160
Prado,34,145
Florencia,24,142
Jerusalén,51,135
Libia,74,131
Orán,36,126
Burgos,22,117
Europa,78,116
Venecia,40,110
Salamanca,38,110
Egipto,60,109
Galicia,40,102
Persia,38,100
Génova,24,98
Bretaña,14,91
Valladolid,35,86
Atenas,32,84
Zamora,31,83
Irlanda,12,81
Asturias,25,81
Arabia,59,78
Murcia,9,77
Túnez,29,76
Lisboa,26,74
Escocia,16,70
Andalucía,44,69
Tremecén,12,69
Londres,14,68
Alba,18,67
Alhambra,20,65
Chipre,26,64
Jaén,19,62
Constantinopla,35,61
India,38,59
Illescas,17,58
Plasencia,11,58
China,47,56
Arcadia,17,56
Marruecos,33,55
Bohemia,15,50
Babilonia,39,50
Malta,16,50
Ferrara,10,50
Olimpo,10,50
Israel,24,50
Vizcaya,29,49
Cádiz,31,49
Mantua,11,48
Etiopía,36,48
Polonia,10,48
Manzanares,20,48
Medina,10,47
Gibraltar,17,46
Holanda,18,45
Cartago,14,44
Lima,14,44
Tarfe,12,44
Ávila,16,43
Belén,16,42
Chile,7,42
Dalmacia,11,40
Fez,18,39
Cartagena,19,39
Berbería,27,38
Jerez,14,38
Austria,27,37
Fuente Ovejuna,1,36
Biserta,12,34
Triana,14,33
Macedonia,9,33
San Juan,18,33
Pamplona,14,32
Calabria,7,32
Brasil,5,32
Ciudad Real,9,32
Oviedo,14,32
Cerdeña,10,32
Creta,13,32
Denia,19,31
Alcalá,17,30
Belgrado,5,29
Guadarrama,20,29
Meca,19,28
Parma,5,27
Tenerife,4,27
Belflor,6,27
Bruselas,8,27
Cartama,3,26
Bolonia,15,26
Marsella,19,26
Ocaña,4,26
Scitia,23,26
Cataluña,19,26
Barajas,1,26
Jordán,18,25
Palencia,8,25
Talavera,13,24
Lerma,3,24
Duero,18,24
Japón,7,23
Getafe,9,23
Bengala,3,22
Montalbán,3,22
Dinamarca,6,22
Alicante,17,22
Siria,15,22
Alejandría,12,21
Écija,12,21
Villena,9,20
Panamá,1,20
Ceuta,13,20
Canaria,5,20
Santiago,16,20
Huesca,2,19
Verona,1,19
Sanlúcar,14,19
Urbino,5,19
Palermo,8,19
Villalba,6,19
Numancia,14,19
Tartaria,7,18
Fenicia,8,18
Mallorca,12,18
Guadalquivir,14,18
Membrilla,1,18
Jarama,8,17
Barleta,1,17
Tánger,10,17
Atocha,9,17
Borgoña,8,17
Armenia,9,17
Málaga,12,16
Benavente,6,16
Perpiñán,6,16
Moscovia,2,16
Ungría,1,16
Alcala,2,15
Córcega,6,15
Lusitania,10,15
Betis,13,15
Tebas,14,15
Cairo,8,15
Sierra Morena,13,15
Tudela,5,15
Jaca,7,15
Lepanto,7,14
Cuenca,12,14
Canaán,2,14
Sena,5,14
Lombardía,9,14
Palestina,10,14
Segovia,10,14
Turquía,13,14
Judea,11,14
Lanzarote,12,14
Casa del Campo,4,14
Guadalajara,11,13
Santa Fe,6,13
Nazarén,3,13
Tajo,12,13
Lorca,3,12
calle Mayor,6,12
Saboya,6,12
Castilla y León,9,12
Guinea,9,12
Pirineos,8,12
Albaicín,6,12
Transilvania,8,12
Ciudad Rodrigo,7,12
Andújar,4,12
Castellón,1,11
Alhama,2,11
Olmedo,2,11
Archidona,5,11
Gelanda,4,11
Mastrique,1,11
Ardea,1,11
Miraflor,4,11
Soto,4,11
Almería,11,11
Sajonia,6,11
Sión,6,11
Fuenterrabía,6,11
Tiro,4,10
San Dionís,9,10
Líbano,10,10
Narbona,8,10
Catania,1,10
Tesalia,8,10
Amalfi,1,10
Etna,9,10
Astorga,7,10
Antequera,8,10
Danubio,8,10
Noruega,8,9
Hircania,9,9
Gran Canaria,2,9
Lesbos,1,9
Ferrol,4,9
Antártico,7,9
Suecia,2,9
Frisia,5,9
Epiro,4,9
Alcázar,4,9
Gange,4,9
Ancona,3,9
Cáucaso,9,9
Haití,1,8
Provenza,4,8
Compostela,6,8
Nilo,8,8
Cerdania,4,8
Baza,4,8
Alpujarras,7,8
Citia,8,8
Candia,6,8
Corinto,6,8
Sierra Nevada,7,8
Anamur,3,8
Melilla,7,8
Ceilán,7,8
Bibarrambla,3,8
Éfeso,7,8
Ginebra,6,8
Ruisellón,2,8
San Sebastián,5,8
Potosí,8,8
Coín,1,8
Tarudante,5,8
Soto de Manzanares,1,8
Pavía,2,7
Ribadeo,2,7
Mecina,3,7
Cambray,3,7
Santa María,3,7
Amberes,3,7
Dacia,3,7
Iberia,2,7
Famagusta,2,7
Susa,4,7
Nueva España,4,7
Rusia,3,7
Chincoya,1,7
Mancha,7,7
Tablada,4,7
Colibre,6,7
Galia,6,7
San Juan de Alfarache,5,7
Trípoli,5,7
América,5,7
San Martín,6,7
Ronda,4,7
Tarifa,6,7
Ostia,5,7
Wamba,5,7
México,4,7
Madián,2,7
Numidia,5,7
Nazaret,6,7
Lérida,2,7
Extremadura,6,7
Bahama,6,6
Alcántara,6,6
Roncesvalles,2,6
Rodas,5,6
Samaria,5,6
Colonia,5,6
Gomera,3,6
Brandemburg,5,6
Sidonia,2,6
Mesina,5,6
Pirene,6,6
Mesopotamia,3,6
Loreto,6,6
Farsalia,6,6
Semíramis,6,6
Rochela,6,6
La Habana,6,6
Mazagán,3,6
Guadalupe,6,6
Guadalete,6,6
Baeza,4,6
Guadiana,5,6
Bayona,6,6
Asiria,1,6
Aranjuez,4,6
Teruel,2,6
Monserrate,4,6
Galilea,4,6
Coria,4,6
Roremonda,1,6
Ebro,4,6
Coimbra,4,6
Torre del Oro,5,6
Lorena,4,6
Mambré,2,6
monte Parnaso,4,6
Mediterráneo,6,6
Tolosa,3,5
Corfú,3,5
Maguncia,3,5
Estela,3,5
Salas,1,5
Sarria,3,5
San Cervantes,3,5
Bélmez,1,5
Canarias,2,5
Bermejas,2,5
San Felipe,2,5
Nisa,1,5
Almagro,2,5
Trasilvania,2,5
Almenar,1,5
Alora,1,5
Media,2,5
Ardenia,2,5
Algarves,3,5
Toro,1,5
Cordoba,4,5
San Salvador,5,5
Genil,4,5
Osuna,3,5
Vega,3,5
Castillas,5,5
Viena,5,5
Sansueña,4,5
Gaeta,4,5
Adamuz,4,5
Miño,4,5
Vitoria,5,5
Hipodamia,5,5
Balán,5,5
Algeciras,4,5
Santángel,4,4
La Coruña,3,4
Parnaso,4,4
Carmona,4,4
Bahía,1,4
Bibataubín,2,4
Ibiza,4,4
Río de la Plata,3,4
Méjico,2,4
Antioquía,4,4
Otranto,2,4
Sogorbe,1,4
Móstoles,2,4
Alpes,4,4
Alcorcón,4,4
Arles,2,4
Alcaidía,1,4
Nitria,1,4
Palma,3,4
San Andrés,2,4
Tucapel,1,4
Alpujarra,4,4
Bermuda,4,4
Belmirar,2,4
Lucemburque,2,4
Garganta la Olla,1,4
Irún,3,4
Aquisgrana,2,4
Villaflor,1,4
Sahagún,4,4
Templo de Vesta,4,4
Italias,3,4
Olimpia,3,4
Villafranca,4,4
Olías,2,4
Sagunto,4,4
Ribadavia,3,4
Almonte,3,4
Montilla,3,4
Sangüesa,1,4
Guanahamí,1,4
Latmo,4,4
Barbadillo,1,4
Arlanza,3,4
Piamonte,3,4
Formentera,4,4
Gante,4,4
Madalena,3,4
Gaza,4,4
Trujillo,2,4
Montefrascón,1,4
Fraga,1,4
Arle,1,4
Trïana,1,4
Hipona,2,4
Béjar,4,4
Arcila,2,4
Iznatorafe,1,4
Ayamonte,4,4
Vinaroz,3,4
Zocodover,4,4
Zánfara,1,4
Urgel,3,4
Estremadura,3,4
San Ponce de Tomaras,1,3
Comares,3,3
Moraña,1,3
Segorbe,2,3
Cleves,2,3
Peñalén,1,3
Manresa,1,3
Briviesca,1,3
Españas,3,3
Motril,1,3
El Escorial,2,3
Córdova,1,3
Liege,1,3
San Román,1,3
Valaquia,1,3
Lieje,1,3
San Luis,2,3
Castilnovo,2,3
Leganés,2,3
Nicomedia,1,3
Terranova,2,3
Malaca,2,3
Peña de Martos,1,3
San Antón,2,3
Guiana,1,3
Consuegra,1,3
Sigüenza,2,3
Viseo,2,3
Livonia,1,3
Viterbo,1,3
Dueñas,2,3
Escalona,1,3
Casa San Severina,1,3
Campos Elíseos,3,3
Gradas,1,3
Mirabel,2,3
Perú,3,3
Marbella,3,3
Vera,3,3
Esparta,3,3
Alameda,3,3
Capua,3,3
Caramania,3,3
Britania,3,3
Argán,1,3
Tormes,3,3
Cubagua,3,3
Lacedemonia,3,3
Masalanca,3,3
Florida,3,3
Babel,3,3
Bari,1,3
Moab,3,3
Tarragona,3,3
Almazán,3,3
Pisa,3,3
Plaza de la Olivera,3,3
Rosellón,1,3
Badajoz,2,3
Puerta del Sol,3,3
Gascuña,3,3
Alcolea,3,3
San Ginés,3,3
Malinas,3,3
Pescara,2,3
Lugo,3,3
Arenal,3,3
Monte Carmelo,3,3
San Juan de Luz,3,3
Medinaceli,2,3
Trapobana,3,3
Ártico,3,3
Almudena,1,3
San Marcos,3,3
Mares de bujía,1,3
Mauritania,3,3
Coïmbra,1,3
Nicosía,1,3
Catay,3,3
montes Pirineos,3,3
Algarbes,2,3
Erimanto,3,3
Escitia,3,3
Monforte,3,3
Mar Rojo,3,3
Aseo,3,3
Plemúa,2,3
Almanzor,3,3
Tracia,2,3
calle de Toledo,3,3
Almodóvar,3,3
la Mancha,3,3
la Habana,3,3
Gales,1,3
Úbeda,3,3
La Guardia,1,2
San Juan de la Palma,1,2
Vaciamadrid,1,2
Temiscira,1,2
Mencia,1,2
Jarifa,1,2
Sañuela,1,2
Punta Delgada,1,2
San Nicolás,1,2
Bisanzón,1,2
Almoradí,1,2
Jaragui,1,2
Saluces,1,2
Arbolán,1,2
La Sambra,1,2
Campostela,1,2
Idumea,1,2
Tabor,1,2
Murabel,1,2
Peñaranda,1,2
Arafe,1,2
Villarreal,1,2
Oliva,1,2
San Miguel el Alto,1,2
Praga,1,2
Amiens,1,2
Ratisbona,1,2
Pirú,1,2
Bugia,1,2
Ancud,1,2
Estridón,1,2
Alborán,1,2
Montiel,1,2
Atelia,1,2
Loja,1,2
Las Ventas,1,2
Sayago,1,2
Miraflores,1,2
Cirueña,1,2
Siquen,1,2
Zefalonía,1,2
Castil David,1,2
Sofala,1,2
Tarazona,1,2
Emaus,1,2
San Nícolas,1,2
Andalucia,1,2
Alcalá de Henares,1,2
Sanlucar,1,2
La Goleta,1,2
Cerro de Andalicán,1,2
Altozana,1,2
Engol,1,2
Miralba,1,2
Guimaráns,1,2
Toscana,1,2
Xatelete,1,2
Fuente Castellana,1,2
Tetüán,1,2
Basilicata,1,2
Rosalba,1,2
Zarzuela,1,2
Rosas,1,2
Cabañas,1,2
Astracán,1,2
Las Palmas,1,2
La Concepción,1,2
Bética,1,2
Aran,1,2
Purén,1,2
San Germán,1,2
Mérida,1,2
Asís,1,2
Aliatar,1,2
Osorno,1,2
Melfa,1,2
Franconfordia,1,2
Peñanegra,1,2
Sesa,1,2
Vesubio,2,2
Navas,2,2
Tambico,2,2
Esgueva,2,2
Almenara,2,2
Aqueronte,2,2
Pilar,2,2
España.,2,2
Henares,2,2
Generalife,2,2
Medina del Campo,2,2
Coruña,2,2
Calahorra,2,2
La Rochela,2,2
Saba,2,2
Ganges,2,2
Fuente del Saúco,2,2
Helicona,2,2
Algaba,2,2
Sobrarbe,2,2
Altamira,2,2
Pirámides,2,2
Castilia,2,2
Natolía,2,2
Mansilla,2,2
Melinde,2,2
Caramanchel,2,2
Misia,2,2
Almansa,2,2
Calés,2,2
Requena,2,2
Java,2,2
Lavapiés,2,2
Caria,2,2
San Miguel,2,2
Vandalia,2,2
Covadonga,2,2
Casa de Campo,2,2
Gandía,2,2
Castilleja,2,2
Cabra,2,2
Tabladillo,2,2
Carrión,2,2
Tiopia,2,2
Guadix,2,2
Morón,2,2
Brabante,2,2
Ofir,2,2
Caribe,2,2
Eritrea,2,2
Baviera,2,2
Huete,2,2
Cabo de Buena Esperanza,2,2
Congo,2,2
Tetuán,2,2
Mosa,2,2
Medellín,2,2
Eufrates,2,2
Apenino,2,2
Cracovia,2,2
Andaya,2,2
Rhin,2,2
Cabo de Gata,2,2
Tafilete,2,2
Vivarrambla,2,2
Engaddí,2,2
Galaad,2,2
Caspio,2,2
Tafalla,2,2
plaza Mayor,2,2
Selín,2,2
Betel,2,2
Senir,2,2
Trapisonda,2,2
Cantillana,2,2
Amaltea,2,2
Castilla la Vieja,2,2
Alpojarras,2,2
Castillanzul,2,2
Sevilia,2,2
Cervera,2,2
Tortosa,2,2
montes Rifeos,2,2
Normandía,2,2
Guipúzcoa,2,2
Arjona,2,2
Malagón,2,2
Petrijón,1,2
Peñaflor,2,2
Marne,2,2
Palenzuela,2,2
Pomas,2,2
Lozoya,2,2
Estella,2,2
Santo Domingo,2,2
Rialto,1,2
Santarén,1,2
calle de Santiago,2,2
Escurial,2,2
Arévalo,2,2
Biarne,2,2
Quivira,2,2
Pavia,2,2
Mozambique,2,2
Tanais,2,2
Viana,2,2
Argentina,2,2
Española,2,2
Cremona,2,2
Orihuela,2,2
Estremoz,2,2
Axarquía,1,2
Algarbe,2,2
Martos,2,2
Carpacio,2,2
Pirineo,2,2
Alarache,2,2
San Francisco,2,2
Yeguas,2,2
Zarza,2,2
Aguas Muertas,2,2
Nájera,2,2
Villahermosa,2,2
Gascueña,1,1
Arcacida,1,1
Novara,1,1
Rávena,1,1
Puentefusco,1,1
Monteflor,1,1
Montaña de Carza y Argelina,1,1
Mandinga,1,1
Zape,1,1
Corón,1,1
Monte Casino,1,1
Castroviejo,1,1
Balaguer,1,1
Scita,1,1
Vinarrós,1,1
Pujarra,1,1
Acroya,1,1
San Esteban,1,1
Eradïano,1,1
Tabarca,1,1
Burguillos,1,1
Retiro,1,1
Labán,1,1
Campuzano,1,1
Marañón,1,1
Villamartín,1,1
Faro,1,1
calle de San Luis,1,1
Bogotá,1,1
San Tiau,1,1
Torre de Visagra,1,1
Somosierra,1,1
Monte Atón,1,1
plaza del Rocío,1,1
Belfor,1,1
Betulia,1,1
Sinaí,1,1
Daroca,1,1
Montalto,1,1
Campos Eliseos,1,1
Villalón,1,1
Órbigo,1,1
Tolemaida,1,1
Alentejo,1,1
Marchena,1,1
Luque,1,1
Jabea,1,1
Guisando,1,1
Sarepta,1,1
Garillano,1,1
Sidón,1,1
Fuente Zumel,1,1
Prados,1,1
Francias,1,1
Pisuerga,1,1
Torre de Belén,1,1
Laredo,1,1
Panonia,1,1
Dura,1,1
Tenez,1,1
Fenez,1,1
Fenecén,1,1
Calatayud,1,1
Esclavonia,1,1
Huerta del Rey,1,1
Tirreno,1,1
Santa Engracia,1,1
Faura,1,1
Arga,1,1
Oceso,1,1
Zahara,1,1
Socot,1,1
Abroza,1,1
Castellar de la Frontera,1,1
Orgaz,1,1
Efes,1,1
Estepa,1,1
Mazalquivir,1,1
Paulo,1,1
Vandon,1,1
Mayorga,1,1
Santa Olalla,1,1
Magedo,1,1
Benavento,1,1
Arimatía,1,1
Sietevillas,1,1
Niza,1,1
Hornachuelos,1,1
Jope,1,1
Gabaón,1,1
Moratalla,1,1
Calvario,1,1
Parda,1,1
Baena,1,1
Hieros,1,1
Monte de las Olivas,1,1
Betfagé,1,1
Labor,1,1
Turín,1,1
Monasterio de San Bruno,1,1
Dinadamar,1,1
Ausonia,1,1
Palacio de Bibataubín,1,1
Coca,1,1
San Martín y Alaejos,1,1
Mormojón,1,1
Ajarquía,1,1
Delfos,1,1
Plaza de León,1,1
Castañar,1,1
Navarino,1,1
Santa Susana,1,1
País,1,1
Indias de Marte,1,1
Alcasarquivir,1,1
calle de Alcalá,1,1
Génovas,1,1
Torres Bermejas,1,1
Torre de Comares,1,1
Mármol,1,1
Miramamolín,1,1
Fuente Aguinaldo,1,1
Guadalcázar,1,1
Campeche,1,1
Altariva,1,1
Siracana,1,1
Atlántico,1,1
Daraja,1,1
montes Riseos,1,1
San Lucas,1,1
Monpelier,1,1
Saelices,1,1
Aquiles de Segovia,1,1
Valdecorneja,1,1
y León,1,1
Zopiro,1,1
Piedra Hita,1,1
Bozmar,1,1
Emaús,1,1
Andrada,1,1
Abenamar,1,1
Tamis,1,1
Reduán,1,1
Urueña,1,1
San Pelayo,1,1
Oñate,1,1
Lenguadoc,1,1
Medea,1,1
Pulán,1,1
Pie de Gruta,1,1
Belda,1,1
Valdecalderas,1,1
San Miguel de los Reyes,1,1
Agramonte,1,1
Landedeste,1,1
Baleares,1,1
San Roque,1,1
Angra,1,1
Alhama de Murcia,1,1
Crevillén,1,1
Santa Cruz,1,1
calle de la Oliva,1,1
Torre de Babel,1,1
Partenio,1,1
Camis,1,1
Rico,1,1
Temisnam,1,1
Senaar,1,1
Aripa,1,1
Lagos,1,1
Peñón de Vélez,1,1
Beserta,1,1
San Leonardo de Alba,1,1
Espania,1,1
Portohércules,1,1
calle de San Francisco,1,1
Bouges,1,1
Limbo,1,1
calle de la Espada,1,1
Burueba,1,1
Menfis,1,1
Rivialmazán,1,1
Grande,1,1
Casiano,1,1
monte Helicona,1,1
Elche,1,1
Lucena,1,1
Penco,1,1
Navalcarnero,1,1
Puerto Talcaguano,1,1
Lepe,1,1
Turquestán,1,1
Tíbar,1,1
Montemedoro,1,1
Mazalquiví,1,1
Islandia,1,1
Moncada,1,1
San Agustín,1,1
monte Ida,1,1
Val de Narciso,1,1
Montes Claros,1,1
Jerez de la Frontera,1,1
monte Partenio,1,1
Fuente Imán,1,1
Tánjar,1,1
Cerro de Potosí,1,1
Aljarafe,1,1
Puycerdán,1,1
Alanís,1,1
Caucaso,1,1
Almodóvar del Campo,1,1
Leone,1,1
Palmira,1,1
Oporto,1,1
Arlanzón,1,1
Plaza del Capitolio,1,1
Brouges,1,1
Madalenas,1,1
Monviedro,1,1
Cayocupil,1,1
Concepción,1,1
Secuana,1,1
Liberia,1,1
Habor,1,1
Guadïana,1,1
Setubal,1,1
Piedragruta,1,1
Beocia,1,1
Gárgano,1,1
Alcaudete,1,1
Gozán,1,1
Alhajara,1,1
Alfaques,1,1
Palamós,1,1
Rentin,1,1
Baños de la Mora,1,1
monte Riselo,1,1
Perineos,1,1
Tarso,1,1
Senar,1,1
Basilea,1,1
Lebis,1,1
Sanderson,1,1
Olimpias,1,1
Magallanes,1,1
Propontis,1,1
Frigia,1,1
Cilicia,1,1
Capadocia,1,1
Partaria,1,1
San Vicente el Cabo,1,1
Tiria,1,1
Tréveris,1,1
Medos,1,1
calle de la Flor,1,1
Etruria,1,1
La Sisla de Toledo,1,1
Huelva,1,1
Gibraleón,1,1
Bizancio,1,1
Tibar,1,1
monte Joaquín,1,1
Sirena,1,1
Galera,1,1
plaza de Sanlúcar,1,1
Andes,1,1
calle de la Cabeza,1,1
Barfol,1,1
Finisterre,1,1
Cananea,1,1
Elíseos,1,1
Tarsis,1,1
Palma de Sol,1,1
Biafar,1,1
Manicongo,1,1
Prada,1,1
Puerta Real,1,1
monte Cisalpino,1,1
calle de las Armas,1,1
Chichilía,1,1
Toranzo,1,1
monte Pirineo,1,1
torre del Águila,1,1
Castilguillermo,1,1
Francelisa,1,1
Bamot,1,1
Arganda,1,1
plaza Ardenio,1,1
India Oriental,1,1
Puentes de Eume,1,1
Temetinda,1,1
Apeninos,1,1
Oropesa,1,1
Asti,1,1
Patmos,1,1
Trinidad,1,1
Verceli,1,1
Rafidín,1,1
Carabanchel de Arriba,1,1
Jarana,1,1
Roán,1,1
Monterrey,1,1
plaza del Ángel,1,1
calle de los Jardines,1,1
Angalaqui,1,1
Horán,1,1
Picardía,1,1
Torino,1,1
Orbea,1,1
Ebrón,1,1
Dotaïn,1,1
Alpe,1,1
Puerto de Saona,1,1
Roda,1,1
San Clemente,1,1
Montes Marianos,1,1
Guadaira,1,1
Peñafiel,1,1
Padua,1,1
Puzol,1,1
Barbarigo,1,1
Sopoto,1,1
Zarzamora,1,1
Parana,1,1
calle de Francos,1,1
Tierra del Fuego,1,1
Filipinas,1,1
Pecis,1,1
Alburquerque,1,1
Puerta Bisagra,1,1
Pontevedra,1,1
Santander,1,1
Brest,1,1
Mar del Sur,1,1
Aulide,1,1
Perpiñan,1,1
Los Remedios,1,1
San Jerónimo,1,1
Tagarete,1,1
Zante,1,1
Mar,1,1
Alcalá del Río,1,1
Gavia,1,1
Anglante,1,1
Brava,1,1
Peloponeso,1,1
Tiraza,1,1
Chapela,1,1
Euripos,1,1
Villalonso,1,1
Sesarte,1,1
Fert,1,1
Ibleos,1,1
Fuenfrida,1,1
Calle de los Gomeles,1,1
Moguer,1,1
Alvega,1,1
Morea,1,1
Atienza,1,1
Antioquia,1,1
Sirenas,1,1
Alcaraz,1,1
Corneja,1,1
La Mancha,1,1
Javas,1,1
Croya,1,1
Nervi,1,1
Lovaina,1,1
Moravia,1,1
Liexa,1,1
plaza de San Marcos,1,1
Hidaspe,1,1
Aljafería,1,1
Islas Terceras,1,1
Citra,1,1
Totipela,1,1
Madera,1,1
Gedrosía,1,1
Aibar,1,1
Seleucia,1,1
Pondelóu,1,1
Jordan,1,1
Torrelaguna,1,1
San Miguel al Alto,1,1
Languedoc,1,1
Bibalmazán,1,1
Tondaya,1,1
San Martín de la Vega,1,1
Lerín,1,1
Benamarín,1,1
Pangeo,1,1
Genel,1,1
Nebo,1,1
Tíber,1,1
monte Celio,1,1
Triones,1,1
monte Tauro,1,1
Capitolio,1,1
Belerma,1,1
Nantes,1,1
Rens,1,1
Guadalcazar,1,1
Abarima,1,1
Tierra Santa,1,1
Colombres,1,1
Benamejí,1,1
Barucoa,1,1
Órgiva,1,1
La Zambra,1,1
Tejares,1,1
Chafalonia,1,1
Guaira,1,1
Estramoz,1,1
Torres de Cañete,1,1
Veraguas,1,1
Tepecas,1,1
Pireneo,1,1
Filabres,1,1
Aracena,1,1
Játiva,1,1
Lemos,1,1
San Angelo,1,1
plaza de San Francisco,1,1
Lomelín,1,1
Portugüesa,1,1
Monte Falcano,1,1
San Payo,1,1
Tolentino,1,1
San Quintín,1,1
Carmania,1,1
Hostilia,1,1
Arrizafa,1,1
Minaroz,1,1
Fuentes,1,1
Medina Sidonia,1,1
Fos,1,1
Montemayor,1,1
Mompeller,1,1
Ferezca,1,1
Pícala,1,1
Portugales,1,1
Monte Palatino,1,1
Esquilino,1,1
Barra de Sanlúcar,1,1
Villacanes,1,1
Sion,1,1
Masareta,1,1
Yepes,1,1
monte Imán,1,1
Fuerteventura,1,1
Sortiguera,1,1
Garaguí,1,1
Españia,1,1
Gomeles,1,1
Plaza Nueva,1,1
Aranda,1,1
Navas de Tolosa,1,1
Salinas,1,1
Rentería,1,1
Valdemoro,1,1
Transilvanía,1,1
Salceda,1,1
Sodoma,1,1
Puerta de la Vega,1,1
Cabo de Paraguay,1,1
Sierra de Capira,1,1
Gelves,1,1
Cabo Verde,1,1
Serbia,1,1
Bisiñano,1,1
Puerta de Guadalajara y Platería,1,1
Valenzuela,1,1
Noroña,1,1
Fernambuco,1,1
Ribagorza,1,1
Sicilias,1,1
San Gil,1,1
Tirana,1,1
Grao,1,1
Puche,1,1
Cumana,1,1
Puente de Segovia,1,1
Santa María la Blanca,1,1
Puerta Cerrada,1,1
Pardo,1,1
San Blas,1,1
Sequera,1,1
Gandelo,1,1
Finisterra,1,1
Paypurti,1,1
Monte Olivete,1,1
Alarcón,1,1
montes Pesulanos,1,1
Provencia,1,1
Chacona,1,1
Anguitola,1,1
Navarrete,1,1
Anguisola,1,1
Colinia,1,1
Pulla,1,1
Rijoles,1,1
Canosa,1,1
Altaflor,1,1
Taranto,1,1
Belmonte,1,1
Saldaña,1,1
San Gerónimo,1,1
Algecira,1,1
Advares,1,1
Salsas,1,1
Catarrocha,1,1
Albufera,1,1
Zaidía,1,1
Milagro,1,1
Borox,1,1
Monte de Arón,1,1
Bisertas,1,1
Argeles,1,1
Audalla,1,1
Selaya,1,1
Abenaya,1,1
Cadiz,1,1
Moncayo,1,1
Ariza,1,1
Cortefue,1,1
Menorca,1,1
Cabo de San Vicente,1,1
Peñón,1,1
plaza de Antón Martín,1,1
León de San Marcos,1,1
Iberio,1,1
Vivar,1,1
Cal de Francos,1,1
Lora,1,1
Biafara,1,1
Capira,1,1
Trento,1,1
Mesuar,1,1
Gran Bretaña,1,1
Bujía,1,1
Namur,1,1
Enchusén,1,1
Dunquerche,1,1
Marle,1,1
Bilbao,1,1
Madrillos,1,1
Capalonas,1,1
Tetuan,1,1
Santa Ana,1,1
Aldehuela,1,1
Zacatín,1,1
Villacastín,1,1
Cordova,1,1
Hidaspes,1,1
Fuenlabrada,1,1
Quintanapalla,1,1
Tralades,1,1
Puerta de Jeréz,1,1
Argos,1,1
Mequinez,1,1
La Roda,1,1
Montes de Toledo,1,1
Vivares,1,1
Mista,1,1
Zelanda,1,1
Campos Elisios,1,1
Sisla,1,1
Carriedo,1,1
Escarpanto,1,1
Pozgaya,1,1
Habana,1,1
San Pedro de Cardeña,1,1
Damasco,1,1
Muley,1,1
Arambel,1,1
Arlés,1,1
Cambaya,1,1
Mar de las Sirenas,1,1
Almada,1,1
Cangas,1,1
Mora,1,1
Taprobana,1,1
Quiloa,1,1
Ormuz,1,1
Yelbes,1,1
Biarni,1,1
